tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,X1,id,imdbid,rating,title,year
tt1196339,5.7,18327,tvMovie,Princess Protection Program,Princess Protection Program,0,2009,,90,"Comedy,Drama,Family",5087,385,1196339,3,Princess Protection Program,2009
tt1197624,7.4,244682,movie,Law Abiding Citizen,Law Abiding Citizen,0,2009,,109,"Crime,Drama,Thriller",4868,892,1197624,3,Law Abiding Citizen,2009
tt1198153,5.8,2125,movie,The Assassin Next Door,Kirot,0,2009,,102,"Action,Drama,Thriller",5137,1705,1198153,3,"Assassin Next Door, The",2009
tt1198156,7.4,21248,movie,You're Not You,You're Not You,0,2014,,102,Drama,6756,6037,1198156,3,You&#39;re Not You,2014
tt1198199,6.5,280,movie,About Sunny,Think of Me,0,2011,,103,Drama,5785,5543,1198199,3,About Sunny,2011
tt1199099,7.9,63779,tvSeries,Merlin,Merlin,0,2008,2012,45,"Adventure,Drama,Fantasy",4784,2996,1199099,3,Merlin,2008
tt1201167,6.3,107546,movie,Funny People,Funny People,0,2009,,146,"Comedy,Drama",4837,408,1201167,1,Funny People,2009
tt1201607,8.1,663725,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,0,2011,,130,"Adventure,Drama,Fantasy",5514,2539,1201607,3,Harry Potter and the Deathly Hallows: Part 2,2011
tt1204340,7.6,27524,movie,Tyrannosaur,Tyrannosaur,0,2011,,92,Drama,5608,3340,1204340,2,Tyrannosaur,2011
tt1204342,7.1,81235,movie,The Muppets,The Muppets,0,2011,,103,"Adventure,Comedy,Family",5768,2889,1204342,1,"Muppets, The",2011
tt1204975,6.6,119005,movie,Last Vegas,Last Vegas,0,2013,,105,"Comedy,Drama",6424,5161,1204975,1,Last Vegas,2013
tt1204977,4.5,42611,movie,Ouija,Ouija,0,2014,,89,"Horror,Thriller",6739,5981,1204977,3,Ouija,2014
tt1205489,8.1,651045,movie,Gran Torino,Gran Torino,0,2008,,116,Drama,4724,502,1205489,2,Gran Torino,2008
tt1205537,6.2,111504,movie,Jack Ryan: Shadow Recruit,Jack Ryan: Shadow Recruit,0,2014,,105,"Action,Drama,Thriller",6887,5090,1205537,1,Jack Ryan: Shadow Recruit,2014
tt1205558,5.7,17623,movie,Hick,Hick,0,2011,,99,"Comedy,Drama",5612,4089,1205558,3,Hick,2011
tt1206285,7.6,4226,movie,Camino,Camino,0,2008,,138,Drama,4567,6946,1206285,3,Camino,2008
tt1206488,6.7,6125,movie,The Milk of Sorrow,La teta asustada,0,2009,,95,"Drama,Music",5081,1805,1206488,3,"Milk of Sorrow, The",2009
tt1206543,6.8,96507,movie,Out of the Furnace,Out of the Furnace,0,2013,,116,"Crime,Drama,Thriller",6457,4910,1206543,1,Out of the Furnace,2013
tt1209377,6.7,3042,movie,Beautiful Kate,Beautiful Kate,0,2009,,100,"Drama,Mystery",4987,6883,1209377,3,Beautiful Kate,2009
tt1210042,6.7,56928,movie,Brooklyn's Finest,Brooklyn's Finest,0,2009,,132,"Crime,Drama,Thriller",4876,951,1210042,1,Brooklyn&#39;s Finest,2009
tt1210166,7.6,317637,movie,Moneyball,Moneyball,0,2011,,133,"Biography,Drama,Sport",5643,2717,1210166,1,Moneyball,2011
